county_fips,state,mean_risk,max_risk,n_years,risk_rank
01043,AL,0.3292655918183037,0.8370047336343976,10,1245
19077,IA,0.32869734056850713,0.7596764925748704,9,1246
19139,IA,0.3281026169193237,0.6628555092526636,9,1247
28077,MS,0.32803931248850926,0.7467993932363176,9,1248
51023,VA,0.3280362744507644,0.726822173945208,8,1249
29159,MO,0.3279665995265764,0.7328881986045288,8,1250
41071,OR,0.327883745318822,0.8330313742366614,9,1251
28095,MS,0.3278550188089652,0.6940525399304408,10,1252
19111,IA,0.32778003621417096,0.6595533586052469,11,1253
51083,VA,0.3277719826700538,0.715646854837758,6,1254
42041,PA,0.32742739076228006,0.6918821038214361,7,1255
26065,MI,0.3270007315805942,0.6690096458238347,5,1256
13087,GA,0.32697475166223766,0.5831964002262993,8,1257
41017,OR,0.3268951253211143,0.6964847831974376,9,1258
55117,WI,0.3268530880732978,0.6902798087550395,4,1259
19013,IA,0.3267170728285902,0.7042428771535123,9,1260
38099,ND,0.3264320890673267,0.8625992703767882,12,1261
13187,GA,0.32605984853932646,0.8576781945860082,9,1262
28079,MS,0.3260129393092252,0.667058019524467,9,1263
06027,CA,0.3259767387250768,0.7818097022984668,6,1264
45071,SC,0.3257304057961155,0.663583477348938,12,1265
47003,TN,0.3256882319906298,0.5785074244550353,5,1266
13145,GA,0.3253546413141604,0.4666677789806376,7,1267
05089,AR,0.32519402075544,0.6512458331088855,12,1268
13111,GA,0.32508925724156956,0.8886610709672018,13,1269
39165,OH,0.32497925651349313,0.6771984152246543,5,1270
17193,IL,0.3247236062113608,0.6687975443589871,3,1271
06093,CA,0.32445128861662154,0.8643576583254359,10,1272
13175,GA,0.3242477607962937,0.8083573478304583,8,1273
47019,TN,0.32377589055453015,0.647241125371829,5,1274
13069,GA,0.3236129297462405,0.7474827843265505,10,1275
55063,WI,0.32338858453343905,0.5730900401001756,9,1276
54053,WV,0.32332426350714233,0.5411192505107799,7,1277
48281,TX,0.32321770259841065,0.8421523741319981,8,1278
27115,MN,0.32311239940792597,0.49922148717020887,7,1279
01009,AL,0.32297632813647875,0.803947135736764,10,1280
51087,VA,0.32294505041295957,0.7767736926927825,7,1281
54001,WV,0.32267854370824,0.5744740648875478,6,1282
18181,IN,0.32248523152505426,0.6826903257004938,9,1283
40081,OK,0.3223281164845774,0.8043592813382168,13,1284
51053,VA,0.32173401269175694,0.7274370059396604,8,1285
01045,AL,0.3216806969401801,0.6546005668684015,12,1286
41061,OR,0.3216410582533414,0.6827182751329767,3,1287
27061,MN,0.32147669206767565,0.5160481018027898,6,1288
19045,IA,0.3212968154925134,0.6186759753465577,7,1289
19175,IA,0.32122453054271466,0.7276584763998443,7,1290
20173,KS,0.32041446767981696,0.5456147549551973,7,1291
48395,TX,0.320166847257111,0.7409776312480787,8,1292
27097,MN,0.31985224440336013,0.6542476459208999,5,1293
13267,GA,0.3194474941528153,0.5645562675909823,9,1294
37043,NC,0.3192054134588856,0.5919385207276716,6,1295
48299,TX,0.3189250985640209,0.7151673669868353,7,1296
01055,AL,0.31873380398617357,0.8856057862870872,9,1297
37169,NC,0.3186305261558729,0.6919215452869184,9,1298
38063,ND,0.31855552680078847,0.9200084332744253,9,1299
20121,KS,0.31838266079158356,0.6271508670346657,7,1300
01123,AL,0.3183760540175089,0.6624179395638771,8,1301
27021,MN,0.318209062876426,0.5968599394964376,6,1302
29229,MO,0.31817731602111443,0.7725942299812625,12,1303
21045,KY,0.31807033181841393,0.9028089240408076,11,1304
28021,MS,0.31793196915615585,0.970777972157101,10,1305
66010,GU,0.31779335777820694,0.5430697582422928,7,1306
19033,IA,0.31758643773635736,0.6811225926896116,6,1307
27145,MN,0.3175503762749157,0.6849481234279493,5,1308
47161,TN,0.31745514861519664,0.7176134776345711,8,1309
05099,AR,0.31740609425085625,0.6066791605359552,10,1310
19099,IA,0.3173922820607216,0.5984477346272359,10,1311
47099,TN,0.3172563436668716,0.6662836358596567,8,1312
20051,KS,0.31720122230045505,0.6928824200681574,9,1313
55053,WI,0.3171297426696171,0.7133575642005014,6,1314
47063,TN,0.31709241902675084,0.5870479486961813,5,1315
02090,AK,0.31693394786735135,0.600657049563676,8,1316
13021,GA,0.31640995543748957,0.7809935750265403,8,1317
47053,TN,0.3160600257459015,0.6958331951856452,10,1318
17077,IL,0.31605907817961915,0.6894104557691286,5,1319
27173,MN,0.3156920853842953,0.7399459676079071,9,1320
05103,AR,0.3155756878085547,0.6048672798017437,9,1321
48329,TX,0.3155658182673821,0.7984948094668247,7,1322
21015,KY,0.3153849206065774,0.8017380655679408,5,1323
29067,MO,0.3151664996933029,0.7037618714848021,10,1324
48397,TX,0.3151266790898884,0.8506203620203092,7,1325
39003,OH,0.31501563715534286,0.5133883512777182,5,1326
19119,IA,0.31493186260574113,0.5864330838249276,9,1327
37181,NC,0.31479994777235903,0.6702558685964848,8,1328
06039,CA,0.3147949395729359,0.8557226754047794,7,1329
48429,TX,0.31469282737495585,0.8976671084515992,9,1330
48161,TX,0.31449402210358446,0.8737762100461973,7,1331
32007,NV,0.31424805423147945,0.46467800959127203,6,1332
26115,MI,0.31361335567628706,0.5889751911679044,3,1333
55021,WI,0.3132574533392729,0.596653607902921,5,1334
41007,OR,0.313111052783416,0.9240247203069017,8,1335
38057,ND,0.31310915006390594,0.8897538551958122,7,1336
41047,OR,0.3127298508942528,0.775354194941533,7,1337
12077,FL,0.31259134010107814,0.6311680516968965,14,1338
06019,CA,0.3124685016582617,0.8784012976008718,5,1339
37073,NC,0.3122391328414562,0.7111023053021426,9,1340
21063,KY,0.31215235591546703,0.7539846715409595,11,1341
24009,MD,0.31207468493019047,0.7552822730233026,7,1342
31025,NE,0.3120731456785176,0.9299713573791509,15,1343
47143,TN,0.31205659120028706,0.5642307383721447,8,1344
20061,KS,0.3120005636464255,0.7299952123308924,10,1345
13001,GA,0.3117949956830863,0.6825098279364318,9,1346
40003,OK,0.3111727744217449,0.8183367381388171,14,1347
23017,ME,0.3111111168002244,0.6470636884240368,9,1348
27083,MN,0.3108905535180426,0.5904395364259007,8,1349
05087,AR,0.3105353496960292,0.597389654498923,13,1350
54101,WV,0.31049891124684853,0.906924780112982,8,1351
21095,KY,0.309187600526277,0.7454372449026411,12,1352
13115,GA,0.3086801780584506,0.7062724347500077,7,1353
13129,GA,0.308301548261869,0.6256067098294497,7,1354
13019,GA,0.308177093237556,0.6309289783561596,8,1355
45039,SC,0.30747116608185093,0.7163471911431705,12,1356
29013,MO,0.3074356919451943,0.7040189586848183,11,1357
39001,OH,0.30718994074652567,0.5628702588383145,7,1358
18035,IN,0.30714151846941773,0.5170194586075535,4,1359
06025,CA,0.3070636244594904,0.8276883712657648,5,1360
05059,AR,0.3070391273182769,0.5136609180669559,6,1361
35047,NM,0.30695254934147076,0.784385406015309,8,1362
17157,IL,0.30694949680403016,0.6521392154529614,9,1363
55013,WI,0.3069096728646024,0.5806302861405923,4,1364
40073,OK,0.30657495719094724,0.7287697901936224,12,1365
47033,TN,0.30657426719751335,0.7201576084826621,6,1366
39145,OH,0.3064477899378496,0.5958898777244493,7,1367
38003,ND,0.3063711530052219,0.8730687490744602,10,1368
21129,KY,0.30572632261541693,0.7406827860006677,13,1369
13131,GA,0.3057200773234288,0.6428719127889159,7,1370
37003,NC,0.30565723120681665,0.757049429147944,8,1371
23009,ME,0.30559303334114946,0.6505298353052259,9,1372
13035,GA,0.30550784155391486,0.5941546011392045,8,1373
05127,AR,0.30541699585179694,0.5897079780042848,8,1374
23023,ME,0.3050378306830774,0.8861944609949473,12,1375
48325,TX,0.30503627860135296,0.8685579348017595,7,1376
17089,IL,0.3050116267390453,0.5761755190272574,6,1377
19127,IA,0.30416585150459,0.6657866059584784,10,1378
54021,WV,0.3041298938877272,0.7067785525858525,10,1379
13137,GA,0.3040335416690762,0.7145641036954402,9,1380
29035,MO,0.303943539252117,0.7835887329559847,9,1381
47047,TN,0.3039407199539299,0.6779598907967702,11,1382
17203,IL,0.30360386444920695,0.6285178055575501,6,1383
47073,TN,0.30347314401163505,0.5099220254922141,5,1384
46035,SD,0.30328314119585725,0.811606581695653,5,1385
48323,TX,0.30314090401393773,0.595348783684846,7,1386
18085,IN,0.30307769863039363,0.6201035894286527,8,1387
36001,NY,0.30305761864310504,0.5798040517525433,10,1388
27091,MN,0.30290545962083915,0.5164748942416113,8,1389
20021,KS,0.3027988723913723,0.846176701899978,12,1390
18049,IN,0.3026849944180442,0.5650083249533117,8,1391
06031,CA,0.3025382622981411,0.8531209954302609,6,1392
47055,TN,0.3022685356213356,0.654928110175061,10,1393
27067,MN,0.30208874504235056,0.6467971965031492,5,1394
21031,KY,0.30190929437023123,0.6023002595350461,12,1395
53005,WA,0.3016306061429385,0.6675700396441188,5,1396
13257,GA,0.3012871521153418,0.6459848358691209,9,1397
37007,NC,0.3012606682448395,0.6130907709079916,8,1398
05105,AR,0.3012500508082935,0.5801908510430478,10,1399
02050,AK,0.30100230220749846,0.6053166550574379,10,1400
13075,GA,0.3009646711600223,0.587318394957247,8,1401
36091,NY,0.30053695319961593,0.43431703494307045,10,1402
29017,MO,0.30045047670432745,0.7908219885172241,13,1403
29139,MO,0.30034085894058343,0.7969757943546026,13,1404
19017,IA,0.30031730826631553,0.6248544862772384,8,1405
12067,FL,0.30009981932846264,0.6998133915869863,14,1406
48459,TX,0.2996777695614399,0.7349131933572958,9,1407
36023,NY,0.2995884588008079,0.5835288893866027,11,1408
27023,MN,0.29939421910508757,0.5664984822162182,9,1409
29089,MO,0.29922165050445754,0.7985396257703589,12,1410
28029,MS,0.29921511718545035,0.6435668233061114,7,1411
38097,ND,0.29877327891523875,0.8351234128341093,11,1412
55133,WI,0.29835738833177894,0.747067309154872,4,1413
28023,MS,0.2979317821839094,0.6331573406868205,9,1414
21225,KY,0.29775638273116584,0.7169564862794153,14,1415
55043,WI,0.2975751906076416,0.5965229090651704,9,1416
54097,WV,0.2975327081394726,0.7585451901890592,7,1417
18047,IN,0.2966500894184546,0.7759586896042436,5,1418
55017,WI,0.29657615904587875,0.7227902408924101,4,1419
23007,ME,0.2965519589047052,0.7514866406646042,9,1420
54109,WV,0.2963386539762004,0.6202105809498517,8,1421
48259,TX,0.29628787140664936,0.847527578920374,9,1422
12043,FL,0.296275914439064,0.7583941114869336,11,1423
45047,SC,0.2962453057087607,0.6028068631440148,11,1424
27045,MN,0.29610712664887157,0.4915572926369064,8,1425
51109,VA,0.295917165751765,0.6963206824238415,9,1426
05053,AR,0.29573815610010284,0.5805877693406778,7,1427
36069,NY,0.2955570183932906,0.4672949193074183,8,1428
48505,TX,0.29488382885004455,0.7659567120409455,6,1429
17057,IL,0.29475743125717857,0.6443994226785192,7,1430
13209,GA,0.29467821722928067,0.5037276543871536,9,1431
54065,WV,0.29465324020949263,0.7057359403608955,6,1432
42087,PA,0.29456862131571376,0.8129404579275817,5,1433
18175,IN,0.29456565748405633,0.8639260775861513,7,1434
19097,IA,0.2944922836320689,0.7743808239679119,11,1435
55127,WI,0.29442720740413597,0.7367721132486794,5,1436
29005,MO,0.2939681810613851,0.8870901725327052,10,1437
39137,OH,0.2939281014554738,0.7783899331063107,5,1438
27055,MN,0.2937204044420755,0.5874099938850128,10,1439
37011,NC,0.29370621172484973,0.6536993440426415,10,1440
37123,NC,0.2933137857866382,0.511419079590577,7,1441
40005,OK,0.29308623939707185,0.6113792179877567,11,1442
47181,TN,0.29276063068771824,0.6238763794353697,10,1443
29153,MO,0.29271654832282906,0.7734086265620933,12,1444
01053,AL,0.2926193642220439,0.6946064041565957,10,1445
21083,KY,0.29241119019601386,0.8006407485903764,9,1446
51117,VA,0.2922178826242205,0.636214771117281,6,1447
42099,PA,0.292064432563553,0.6914933818308168,8,1448
46015,SD,0.29154322366223756,0.8330240677580429,9,1449
18065,IN,0.2915270646219203,0.7627479507432434,5,1450
26161,MI,0.29146787316897393,0.48425525873296815,4,1451
53007,WA,0.2913521097607257,0.8137018445789747,15,1452
54029,WV,0.29125581803151274,0.7840628499570227,7,1453
54103,WV,0.291143779175595,0.6192286941226601,10,1454
20159,KS,0.2906935435687299,0.5989635040445779,13,1455
35039,NM,0.2906003066883071,0.6613872403634249,7,1456
41011,OR,0.29010026611419965,0.7534727455148578,9,1457
27165,MN,0.28996224410093,0.46678190612082604,7,1458
35049,NM,0.28970591182897387,0.48210176952038475,4,1459
27143,MN,0.2895251414806555,0.7900228144255851,10,1460
31111,NE,0.28933184231310977,0.5919995493736641,11,1461
05035,AR,0.2892876988203114,0.4400672490152738,6,1462
47051,TN,0.28927462234731216,0.6497729005560615,3,1463
38059,ND,0.28914860833160816,0.8888276213030687,8,1464
42007,PA,0.289100138612966,0.5187905831432814,5,1465
17075,IL,0.2888670311197495,0.6663659886718178,3,1466
19133,IA,0.28864956950071263,0.6840635863341594,9,1467
49011,UT,0.28859176446821916,0.7804450131921721,6,1468
13299,GA,0.2884089329218764,0.6510147390729722,11,1469
17097,IL,0.2881871535396297,0.5380822844606894,7,1470
40023,OK,0.28818651293451986,0.5674352879598699,11,1471
21189,KY,0.2880344103342771,0.766519632310188,12,1472
26125,MI,0.28789100987632815,0.5514128216377655,6,1473
19187,IA,0.2877492096757916,0.6819160520004666,10,1474
40127,OK,0.287682528637708,0.5957620902534,14,1475
41009,OR,0.28719062184002436,0.7983404562239422,9,1476
45009,SC,0.28718775867501617,0.765669316314969,12,1477
21217,KY,0.28699276707780247,0.6634171153392131,9,1478
42033,PA,0.28647405142675136,0.4873248369126726,6,1479
13225,GA,0.28641033223027396,0.621542066957692,8,1480
20055,KS,0.2863405493155518,0.44917963584839166,7,1481
39033,OH,0.2862218650029975,0.7806475087856081,7,1482
19035,IA,0.28614406916194185,0.677039109720079,12,1483
72013,PR,0.2859102968544352,0.869035677292058,8,1484
51187,VA,0.2858141892726766,0.647012241231522,7,1485
42027,PA,0.2857081973123053,0.5654214823688266,7,1486
54017,WV,0.28566619198894855,0.5849733430828249,9,1487
20139,KS,0.285640316749313,0.7367365176623198,10,1488
29179,MO,0.2854674522351323,0.8352720709594411,11,1489
33007,NH,0.2853114270189103,0.7319892449620333,12,1490
55087,WI,0.28525933504001305,0.7269296454070153,4,1491
45049,SC,0.28474822605109884,0.5435680743708597,11,1492
01047,AL,0.28472263771957246,0.6526191425589656,11,1493
39151,OH,0.28470487658815974,0.7855542285391719,6,1494
26015,MI,0.2839475405171778,0.5713500999054899,5,1495
51003,VA,0.2837506655244948,0.5135212292844162,9,1496
40035,OK,0.28366871009946365,0.623572335924399,16,1497
47039,TN,0.28344968167545304,0.8536636386732952,10,1498
19105,IA,0.2834282847001813,0.5382159770694364,9,1499
36101,NY,0.2834279117593607,0.6379654967951752,8,1500
17165,IL,0.2834057494794915,0.6663971929083503,4,1501
48159,TX,0.2833694963363937,0.5617386034876289,9,1502
06051,CA,0.28306424955338905,0.5076770087521513,4,1503
12079,FL,0.2829629775004032,0.722160199426017,14,1504
19011,IA,0.28288445924737393,0.6227495605092295,8,1505
72003,PR,0.2828406108928681,0.7014629653539964,7,1506
51101,VA,0.28282605788561394,0.5800312515512541,9,1507
31177,NE,0.2826426487605087,0.9187507345437095,11,1508
21185,KY,0.28209375715836266,0.8803102821401719,7,1509
13321,GA,0.28198041592583334,0.5634504073753717,8,1510
39147,OH,0.28191399673356293,0.8013294065838005,5,1511
42133,PA,0.281855287481778,0.6785038120053034,9,1512
20043,KS,0.28182224040809467,0.8833060596127006,10,1513
29049,MO,0.28149217431099893,0.5278527997767106,9,1514
40009,OK,0.2811719623479527,0.5473203748239608,13,1515
13011,GA,0.28108392282192185,0.7034461933598858,8,1516
55077,WI,0.2809437361634472,0.6583690947386976,5,1517
37145,NC,0.2801689608069088,0.4923834631397585,9,1518
26045,MI,0.28016782630302683,0.61134926827663,5,1519
17141,IL,0.27996952573089207,0.6410656031402227,7,1520
42049,PA,0.2798065664288305,0.5731675962800006,4,1521
13007,GA,0.27979735323738086,0.6548764551020149,9,1522
28115,MS,0.2797343421728093,0.6991682546576777,5,1523
17037,IL,0.2796081842483866,0.5776837259325395,7,1524
19125,IA,0.2795956145092411,0.7447467519525662,8,1525
05101,AR,0.27945450296681895,0.6213465930068625,11,1526
06047,CA,0.27945336079420047,0.7483880959651371,6,1527
20111,KS,0.27904471630532446,0.6571244467703926,11,1528
53059,WA,0.2787988720965266,0.6001113575874529,14,1529
18099,IN,0.27874942111766393,0.6136609325042511,6,1530
13231,GA,0.2786332057672562,0.539236832725608,7,1531
51515,VA,0.2783071142331122,0.5164748644650867,5,1532
28147,MS,0.2779831042305168,0.6820516913007505,8,1533
19095,IA,0.2778843754488999,0.5290075495466923,10,1534
40107,OK,0.27743880757429534,0.6106396180271365,15,1535
54057,WV,0.2774177118815963,0.6601156156470946,5,1536
